z1,z2,z3,id
-1.9051864,-0.90902203,-1.4145563,529248
1.083542,-1.0234164,0.58710206,529250
0.81851476,-3.2979186,3.4338965,529251
-2.1269464,-0.04405637,-0.5831353,529259
0.5383979,-0.32301486,0.7287982,529260
1.0057888,0.76678246,0.4386671,529262
-0.83832955,-0.15549318,-1.3140018,529264
-0.36139742,-0.7345971,-1.8020437,529265
0.7743717,-0.5340205,0.20202221,529266
-0.54576695,-0.6558907,-2.0258265,529267
-2.0362108,-0.48741996,-1.409442,529268
-0.925004,-0.36702013,-0.85102516,529270
-2.6049297,-0.09282801,-1.8053348,529271
-1.3126924,-0.49578547,-2.129624,529272
0.7403045,-0.5217974,1.8417768,529273
-1.2370352,-0.7957744,-1.3956058,529274
-1.7009561,-0.62450504,-1.1852293,529275
-1.7544525,0.42555326,-1.2380099,529276
-2.1501718,-1.9588549,-0.4889484,529277
-1.9283673,-0.24343039,-1.3041639,529279
-1.2208521,-0.075214975,-0.9846203,529281
0.5176023,-0.24347973,0.8659652,529282
-3.2053432,-0.2864039,-1.8085889,529283
-1.1513686,-0.25155982,-1.3588517,529284
0.25805002,0.41393057,-1.3265492,529285
0.86986303,-0.21407352,0.43898287,529286
-1.8253865,0.017103994,-1.2800065,529287
1.1684563,-1.3875444,1.5877501,529288
-1.4618149,0.012785887,-1.2959269,529289
-1.45855,-0.24093162,-0.9946874,529290
-0.9681288,-0.41948608,-1.6541975,529291
0.21741304,-1.3210777,1.79365,529292
1.159398,-1.3166428,0.66456056,529293
0.48308578,-1.1420944,1.2303629,529294
-1.5719907,0.41383636,-0.9180195,529295
0.53686446,-1.3673892,2.4073794,529296
-2.8235178,-0.043831073,-1.227136,529297
-2.7546782,0.1327828,-2.2442644,529298
0.08402302,-2.522703,2.7772033,529299
1.5560193,-0.38688156,0.18896072,529300
-0.91261595,-0.13775289,-1.7495286,529301
0.79159075,-1.55423,1.797189,529302
-0.75224197,-0.47145253,-1.3030916,529303
0.99606735,-0.8907888,1.1270124,529304
-1.7686844,0.055801354,-1.4341232,529305
-1.536451,0.43596876,-1.5209725,529306
0.9686405,-0.48195788,0.52756906,529307
0.73070425,-0.75745684,0.92900807,529308
-1.4007833,-0.10360697,-1.3721459,529309
1.2167157,-0.3716624,0.14934047,529310
0.6608672,-0.2023971,2.304807,529311
-2.52732,0.13929345,-1.9496443,529312
-1.6955113,0.6500786,-1.3336706,529314
-1.2351853,-0.1537077,-0.16436924,529315
0.27293444,-1.2962352,1.0641842,529319
-1.2193555,-0.19679953,-1.4968479,529320
1.0584347,-1.6224602,0.59812665,529321
0.776754,0.6899845,0.43812808,529322
-0.84485614,-0.25000164,-1.1812328,529323
1.0895039,-2.1954198,3.414933,529327
0.10466095,-1.4759762,2.2927413,529328
-1.0731933,-0.964287,-1.1903424,529329
0.6956351,-0.9024321,0.64755,529330
-1.4052721,-0.51099855,-1.8842834,529331
1.2523552,-0.4503877,0.5346606,529332
-0.791306,0.15863594,-1.2491813,529333
0.4526272,-1.5875359,1.1688981,529334
1.1434224,-1.0037928,1.2366151,529335
-2.4828415,0.00042602234,-1.5987035,529337
-2.1299434,-0.050934073,-1.4143372,529338
0.10227474,0.4906386,0.890216,529339
-1.2124741,0.1980414,-1.1155375,529340
0.7283656,-1.8830408,1.7204504,529341
-1.231796,-0.2740173,-1.9561529,529342
0.28403494,-1.2010938,3.8964338,529343
0.92976177,-0.97459,1.2818447,529345
-1.0533366,-0.6620797,-1.6345611,529346
-0.5391301,-0.18529938,-1.022528,529347
-0.6909245,-0.38081655,-1.1074071,529348
1.4222587,-0.4896013,-0.24430777,529349
-2.1452734,-0.062472343,-1.3719246,529350
-1.8752143,-0.8119844,-2.0578194,529351
-1.7737336,-0.27916092,-1.4344002,529352
-1.7119787,0.37800986,-0.4681204,529355
-1.3080637,0.0025081262,-1.0332644,529356
0.8957584,-0.84165674,0.64960533,529357
-1.1852694,0.24299024,-0.6209356,529358
0.31459174,-0.07369347,0.9928759,529360
0.75635695,-0.19017965,1.0891846,529363
0.37818027,-0.9589843,2.6595497,529364
-1.4571608,-0.346169,-1.5662515,529365
